user_id,user_name,user_image,gender,class,message,post_num,follower_num,followee_num,is_spammer
1041514813,james1002,http://tp2.sinaimg.cn/1041514813/180/5708899731/1,male,5,   Lv.5     Õã½­Äþ²¨   ¼ò½é£º³ÏÐÅÎª±¾£¬Õ¾µÄ¸ß²ÅÄÜ¿´µÄÔ¶¡£¿ìÀÖ¿ªÐÄÃ¿Ò»Ìì¡£  ,1557,1421,2000,
1046222077,Ö£¾û,http://tp2.sinaimg.cn/1046222077/180/5711167576/1,male,10, ±±¾©¶«³ÇÇø   ¼ò½é£ºÇÒ°Ñ±¯¸è»¶³ª   ¸öÐÔÓòÃû£º zhengjun    ²©¿ÍµØÖ·£º http://blog.sina.com.cn/zhengjun   ,1265,1280571,130,
1049591831,²¨²¥°¢²¨Ë¼ÃÜ´ï,http://tp4.sinaimg.cn/1049591831/180/5710224593/0,female,5,   Lv.5     ¼ªÁÖËÉÔ­   1972Äê12ÔÂ3ÈÕ   ¼ò½é£º×ÔÓÉÈË£¬¿ìÀÖ×å  ,503,302,968,
1062050703,Ï¼¶ù0109,http://tp4.sinaimg.cn/1062050703/180/1277084329/0,female,9,   Lv.9     ¸£½¨ÏÃÃÅ    ±ÏÒµÓÚ  ÏÃÃÅ´óÑ§     ¹«Ë¾  ChinaZÕ¾³¤Ö®¼Ò    ¸öÐÔÓòÃû£º xiaer0109    ²©¿ÍµØÖ·£º http://blog.sina.com.cn/xiaer0109   ,281,148,354,
1071429143,×Ï¾£»¨_18423,http://tp4.sinaimg.cn/1071429143/180/40061065838/0,female,5,   Lv.5     ¹ã¶«Õ¿½­    ±ÏÒµÓÚ  ÁÉÄþÊ¦·¶´óÑ§     ¹«Ë¾  ´óÑ§½ÌÊ¦    1970Äê11ÔÂ18ÈÕ   ¼ò½é£ºÔÚÐ£Ô°ÀïºÍ´óÑ§ÉúÒ»Æð³É³¤¡£  ,135,1975,2000,
1087770692,³ÂÀ¤,http://tp1.sinaimg.cn/1087770692/180/5708925460/1,male,13, ÖØÇì   ¼ò½é£ºÄªÊ§¼ºµÀ£¬ÄªÈÅËûÐÄ¡£   ¸öÐÔÓòÃû£º chenkun     ±êÇ©  ÑÝÔ±   ,4461,74798328,488,
1092538373,CCTVÌìÏÂ×ãÇò,http://tp2.sinaimg.cn/1092538373/180/5599827948/1,male,12, ¼ò½é£º¡¶ÌìÏÂ×ãÇò¡·£¬×î´¿´âµÄ×ãÇò£¬×î¸ß¼¶µÄÏíÊÜ£¡²¥³öÊ±¼ä£ºÃ¿ÖÜÒ»Íí19:30-21:25  ,1222,516668,172,
1114281232,ÆÐÌá2589,http://tp1.sinaimg.cn/1114281232/180/5673736925/1,male,8,   Lv.8     ºþÄÏ³¤É³   ¼ò½é£ºÈôÄã°²ºÃ£¬±ãÊÇÇçÌì    ±êÇ©  ÃÀÅ®   ,333,199,598,
1155631071,ÈôË®ÍÅ,http://tp4.sinaimg.cn/1155631071/180/40021491387/0,female,11,   Lv.11     º£ÍâÆäËû   Áµ°®ÖÐ   Ê¨×Ó×ù   ¼ò½é£º·½±ãµÃÇ°ÎÞ¹ÅÈËºóÎÞÀ´ÕßµÄ°ïÅÉ:http://t.cn/8kI0tCF»¶Ó­ÂÒÈë!²ÎÍÅ¼ÓÍúÍú18Èº£º727790822¨r(ÀŸ¦ØÀŸ)¨q   ¸öÐÔÓòÃû£º ruoshuituan   ,10959,17399,368,
1165712932,ÑÝÔ±ÍõÀ½,http://tp1.sinaimg.cn/1165712932/180/1299361151/0,female,9, ±±¾©³¯ÑôÇø    ±ÏÒµÓÚ  ÖÐÑëÏ·¾çÑ§Ôº    Ìì³Ó×ù   ¼ò½é£º(±à¼­²¿µÄ¹ÊÊÂ)(Îå¿ý)(°®Çé¶þÊ®Äê)(¶«·½Ë·)(±ðÄÃ×Ô¼º²»µ±¸É²¿)(ËÄÊÀÍ¬ÌÃ)(´óÊ±´ú)....´ÓÇå´¿´óÑ§ÉúÑÝµ½´óÆÃ¸¾£¬Á÷ÄêËÆË®£¬µ¯Ö¸Ò»»Ó£¡   ¸öÐÔÓòÃû£º lanzi   ,5221,22572,423,
